Date,Text,User
2017-10-31 14:40:49.943000,"RT : $GBPCHF surges to 1.3242, unseen since little after #Brexit plebiscite $GBPUSD $EURGBP $GBPJPY #Barnier #TheresaMay htt…",Igor Todorović
2017-10-31 14:41:09.293000,"$GBPCHF surges to 1.3242, unseen since little after #Brexit plebiscite $GBPUSD $EURGBP $GBPJPY #Barnier #TheresaMay",Igor Todorović
2017-10-31 14:42:13.066000,#Forex #MT4 #MT5 $EURUSD Forex Grid Systems has built a very effective trading tool for both scalping and swing t…,FX Grid Systems
2017-10-31 14:42:37.112000,$AUDUSD stop being a twat and just go down. ( l am free to provide currency analysis at major firms),Forex Signal Fire
2017-10-31 14:45:12.331000,#Forex Forecast Video for $AUDUSD on Multi-Timeframes by on our #mtbanalysis Mag &gt;…,My Trading Buddy
2017-10-31 14:47:13.127000,$USDCHF #USDCHF | BUY now | Limit: 6.5 | Stop: 9.5 | 62.7% | #fx #forex #daytrading,FX Day Trade
2017-10-31 14:48:39.627000,#129650464 $USDCAD Closed Pips 49,ForexAurum
2017-10-31 14:49:24.758000,$CAD #Technical Overview - $USDCAD $EURCAD $GBPCAD $CADMXN $AUDCAD $CADJPY,Scotiabank FX
2017-10-31 14:50:09.284000,Bought 0.01 Lots $USDCAD 1.28871,Peter Miller
2017-10-31 14:52:30.023000,RT : #FOMC Preview: Do we really have to care about Yellen now? by $EURUSD #forex…,Stakepool
2017-10-31 14:52:30.373000,RT _TradingIdeas: Long off Bullshark $USDJPY,Stakepool
2017-10-31 14:53:59.727000,#USDJPY Pot. intermed top in Uptrend LONGERTERM Wly-Dly-Hly combo chart $USDJPY #JPY #FX,Co-Branded FinGraphs
2017-10-31 14:54:37.970000,$USDCAD 240 trending really well in Median Line. Blue SH is holding support. #forextrading #forex,TradingMotives
2017-10-31 14:55:08.143000,"RT StakepoolCom ""RT TV_TradingIdeas: Long off Bullshark $USDJPY",TopFiveTraders
2017-10-31 14:55:45.905000,$cac $slv $forextrading $dax $uso $tradingcourses $business $ssec $gdx $audusd | Harpers Weekly 1862 |…,Blueline Alert
2017-10-31 14:57:35.410000,USDCAD Short - 1:3 RR $USDCAD,TV_Trading Ideas
2017-10-31 14:59:01.961000,$usdchf what a change to the other CB's with blotted balance sheets and huge deficits overhangs! :),usxau
2017-10-31 14:59:41.546000,USDCAD $USDCAD,TV_Trading Ideas
2017-10-31 15:01:10.957000,Forex $USDCHF (60 Min) Signal Pending Sell 0.9973 MT Alpha SAR -UTC-20171031-150013,ITradeRobotSignals
2017-10-31 15:05:53.161000,$DXY 240 Correlations since Sept 8 show strongest percent change in commodity FX $NZDUSD $USDCAD $AUDUSD 5 - 7 %…,TradingMotives
2017-10-31 15:06:46.080000,$tradingcoach $forex $gbpusd $stocktrade $stocktrading $usdcad $forextrading $ssec $silver $stockmarket |…,Blueline Alert
2017-10-31 15:07:41.812000,#Aussie $AUDUSD again headed back to the lows.. our article from next week &gt;&gt;,Elliott Wave Service
2017-10-31 15:10:11.018000,Forex signal [ sell $USDCAD | Entry Point:1.2895 ] click here for more details #forex #forexsignals,forex-signals.club
2017-10-31 15:10:15.423000,"Closed Buy 0.01 Lots $USDCAD 1.28871 for +3.1 pips, total for today +97.3 pips",Peter Miller
2017-10-31 15:10:55.043000,aud/usd buy cypher pattern $AUDUSD,TV_Trading Ideas
